,Date,Energy,High,Low,Close,Adj Close,Volume
0,2021-04-01,56.32,59.48,54.299999,57.240002,51.005959,457851400
1,2021-05-01,57.98,64.019997,57.740002,58.369999,52.012882,521302100
2,2021-06-01,59.450001,64.93,59.450001,63.080002,57.028778,526456700
3,2021-07-01,64.330002,64.419998,54.599998,57.57,52.047352,435901400
4,2021-08-01,57.549999,59.060001,52.099998,54.52,49.28994,406363800
5,2021-09-01,54.490002,60.48,52.959999,58.82,53.982319,482908500
6,2021-10-01,59.41,65.940002,59.41,64.470001,59.167633,435214600
7,2021-11-01,65.07,66.379997,59.540001,59.84,54.91843,416061500
8,2021-12-01,60.900002,63.349998,57.959999,61.189999,56.912109,433112300
9,2022-01-01,61.240002,76.419998,61.209999,75.959999,70.649506,608287500
10,2022-02-01,76.449997,83.080002,74.029999,78.419998,72.937538,628643600
11,2022-03-01,78.769997,91.510002,76.25,82.589996,77.667572,853500100
12,2022-04-01,81.989998,89.800003,79.290001,85.25,80.169037,505627700
13,2022-05-01,85.010002,99.779999,83.400002,96.0,90.278328,659837300
14,2022-06-01,97.019997,105.57,83.519997,85.639999,81.360741,660217900
15,2022-07-01,86.739998,97.519997,80.690002,96.93,92.086617,427905800
16,2022-08-01,94.790001,101.559998,86.279999,95.589996,90.813553,424555300
17,2022-09-01,94.419998,99.190002,83.889999,87.309998,83.753242,411406700
18,2022-10-01,90.040001,112.910004,89.720001,110.809998,106.295921,431618500
19,2022-11-01,112.370003,114.660004,107.480003,111.339996,106.804321,368035500
20,2022-12-01,111.639999,112.07,102.370003,110.300003,106.658455,376504300
21,2023-01-01,109.779999,117.779999,104.760002,116.010002,112.179955,329848000
22,2023-02-01,115.830002,119.629997,108.639999,109.910004,106.281342,311238300
23,2023-03-01,109.309998,113.839996,98.019997,109.660004,106.85556,412537000
24,2023-04-01,113.389999,119.919998,113.120003,118.339996,115.31356,293288800
25,2023-05-01,115.989998,117.300003,101.739998,102.18,99.566849,332357300
26,2023-06-01,101.75,109.139999,101.260002,107.25,105.41404,322608200
27,2023-07-01,107.489998,108.459999,100.220001,107.239998,105.404198,350338600
28,2023-08-01,106.949997,112.07,104.57,111.190002,109.286591,315896100
29,2023-09-01,112.199997,120.699997,112.199997,117.580002,116.514557,320550000
30,2023-10-01,117.529999,117.790001,104.540001,105.849998,104.890846,493930700
31,2023-11-01,106.529999,109.190002,101.150002,103.959999,103.017967,356679200
32,2023-11-28,104.239998,104.910004,103.879997,103.900002,103.900002,20607208
