,Date,Consumer Discretionary,High,Low,Close,Adj Close,Volume
0,2021-04-01,186.429993,191.669998,178.860001,186.020004,186.020004,152784600
1,2021-05-01,187.690002,189.220001,167.100006,178.649994,178.649994,205087900
2,2021-06-01,180.179993,181.009995,171.309998,175.770004,175.770004,173576100
3,2021-07-01,175.350006,186.289993,169.809998,176.020004,176.020004,180949100
4,2021-08-01,177.220001,187.580002,170.919998,181.300003,181.300003,180772600
5,2021-09-01,181.960007,187.580002,169.029999,169.169998,169.169998,183753100
6,2021-10-01,172.279999,179.630005,168.149994,169.070007,169.070007,181076800
7,2021-11-01,169.210007,179.25,143.110001,144.899994,144.899994,349411000
8,2021-12-01,146.699997,157.070007,142.039993,154.889999,154.889999,250556100
9,2022-01-01,155.830002,160.320007,129.259995,142.970001,142.970001,269830300
10,2022-02-01,143.020004,157.5,139.25,148.460007,148.460007,251467500
11,2022-03-01,147.860001,148.649994,128.380005,137.160004,137.160004,225743700
12,2022-04-01,137.339996,139.259995,111.360001,111.629997,111.629997,274453400
13,2022-05-01,111.709999,116.440002,99.470001,110.440002,110.440002,323011400
14,2022-06-01,112.010002,112.849998,92.010002,94.400002,94.400002,241396000
15,2022-07-01,94.239998,106.339996,90.230003,106.099998,106.099998,196472800
16,2022-08-01,104.870003,126.480003,103.860001,112.080002,112.080002,294112900
17,2022-09-01,111.790001,117.489998,94.279999,94.330002,94.330002,209868200
18,2022-10-01,95.730003,107.43,90.709999,106.540001,106.540001,180462300
19,2022-11-01,107.699997,108.839996,86.279999,97.870003,97.870003,427693700
20,2022-12-01,97.870003,99.690002,84.07,86.879997,86.879997,301451500
21,2023-01-01,88.980003,110.580002,87.830002,108.489998,108.489998,228917500
22,2023-02-01,108.5,118.18,98.959999,99.610001,99.610001,252908500
23,2023-03-01,99.190002,102.699997,90.459999,100.129997,100.129997,196622800
24,2023-04-01,100.209999,102.559998,96.459999,102.5,102.5,156601900
25,2023-05-01,102.410004,103.910004,87.010002,87.959999,87.959999,335010000
26,2023-06-01,88.400002,94.519997,87.110001,89.279999,89.279999,282658500
27,2023-07-01,89.120003,90.949997,85.160004,88.889999,88.889999,320269700
28,2023-08-01,89.120003,92.529999,82.459999,83.68,83.68,377246600
29,2023-09-01,82.110001,86.190002,79.220001,81.050003,81.050003,319833300
30,2023-10-01,80.919998,86.290001,78.730003,81.589996,81.589996,245092900
31,2023-11-01,81.529999,96.510002,80.18,95.169998,95.169998,277080900
32,2023-11-28,95.0,95.139999,92.445,92.5,92.5,14038954
