,Date,Consumer Discretionary,High,Low,Close,Adj Close,Volume
0,2021-04-01,149.479996,172.050003,149.479996,165.779999,165.779999,4842500
1,2021-05-01,167.029999,188.0,160.440002,180.809998,180.809998,6209300
2,2021-06-01,184.199997,185.0,149.5,161.940002,161.940002,6917000
3,2021-07-01,162.479996,172.199997,151.229996,170.899994,170.899994,3855400
4,2021-08-01,172.600006,175.899994,145.889999,160.330002,160.330002,3970000
5,2021-09-01,161.149994,165.25,141.800003,141.910004,141.910004,3954500
6,2021-10-01,142.630005,150.839996,135.149994,149.300003,149.300003,3376700
7,2021-11-01,148.789993,155.029999,133.320007,143.660004,143.660004,5060500
8,2021-12-01,146.199997,160.589996,144.509995,154.479996,154.479996,5132900
9,2022-01-01,154.339996,155.429993,113.739998,124.510002,124.510002,4932300
10,2022-02-01,125.0,132.839996,110.830002,126.129997,126.129997,6259600
11,2022-03-01,126.349998,134.050003,97.370003,97.68,97.68,7238700
12,2022-04-01,97.919998,102.349998,88.129997,93.709999,93.709999,8171200
13,2022-05-01,93.339996,105.330002,86.720001,97.989998,97.989998,6867900
14,2022-06-01,98.599998,99.739998,71.730003,86.900002,86.900002,7238600
15,2022-07-01,87.110001,113.010002,86.260002,112.800003,112.800003,4462700
16,2022-08-01,111.239998,116.099998,94.559998,94.910004,94.910004,5069600
17,2022-09-01,93.589996,96.839996,77.599998,81.370003,81.370003,4760800
18,2022-10-01,83.120003,93.529999,74.610001,92.050003,92.050003,4476500
19,2022-11-01,95.0,99.360001,80.300003,99.339996,99.339996,4682800
20,2022-12-01,100.0,107.629997,90.190002,92.599998,92.599998,5037700
21,2023-01-01,94.720001,113.989998,92.860001,113.849998,113.849998,4467000
22,2023-02-01,113.209999,126.370003,100.220001,104.309998,104.309998,4938000
23,2023-03-01,104.239998,114.489998,97.480003,114.029999,114.029999,5049700
24,2023-04-01,113.110001,120.739998,104.489998,118.800003,118.800003,3328600
25,2023-05-01,118.139999,124.739998,108.75,113.769997,113.769997,3813400
26,2023-06-01,113.599998,135.410004,113.599998,134.889999,134.889999,4235100
27,2023-07-01,134.910004,141.910004,120.400002,138.75,138.75,3668100
28,2023-08-01,136.460007,140.279999,113.639999,123.099998,123.099998,3748800
29,2023-09-01,124.389999,126.290001,98.510002,99.489998,99.489998,3782100
30,2023-10-01,101.260002,102.870003,84.160004,94.510002,94.510002,5002800
31,2023-11-01,94.080002,125.339996,91.459999,117.839996,117.839996,3258700
32,2023-11-28,117.970001,119.462502,116.93,118.440002,118.440002,118630
