,Date,Consumer Discretionary,High,Low,Close,Adj Close,Volume
0,2021-04-01,56.080002,59.130001,55.599998,58.720001,53.117176,38623500
1,2021-05-01,59.040001,61.200001,58.139999,59.970001,54.247906,35189200
2,2021-06-01,60.490002,61.810001,58.27,58.5,53.372932,27211800
3,2021-07-01,58.59,60.259998,55.5,57.529999,52.487946,37311500
4,2021-08-01,57.34,58.16,55.220001,55.68,50.800079,30920500
5,2021-09-01,55.73,56.060001,53.860001,54.220001,49.905441,44579900
6,2021-10-01,54.360001,54.470001,52.18,53.580002,49.316364,38944200
7,2021-11-01,53.5,54.130001,50.77,50.849998,46.803608,57360900
8,2021-12-01,51.209999,53.830002,50.599998,53.790001,49.969975,64016900
9,2022-01-01,53.529999,54.360001,46.07,51.389999,47.740421,145174100
10,2022-02-01,50.810001,53.509998,48.349998,50.27,46.699959,58595000
11,2022-03-01,49.669998,49.939999,43.110001,45.57,42.737095,104842100
12,2022-04-01,46.110001,46.84,43.959999,46.259998,43.384197,81392700
13,2022-05-01,45.59,48.5,42.540001,48.330002,45.325516,99127200
14,2022-06-01,47.259998,47.369999,43.16,45.830002,43.428974,73485700
15,2022-07-01,45.5,49.110001,45.290001,48.66,46.110714,54371700
16,2022-08-01,48.880001,49.23,45.360001,45.389999,43.012024,48661000
17,2022-09-01,44.919998,47.099998,43.130001,43.84,41.916008,63244200
18,2022-10-01,43.799999,45.950001,42.439999,45.509998,43.512711,66301100
19,2022-11-01,45.830002,50.490002,44.490002,50.380001,48.168987,51463500
20,2022-12-01,50.889999,51.669998,50.040001,50.349998,48.562099,50355200
21,2023-01-01,50.09,51.66,49.57,51.099998,49.285469,37213300
22,2023-02-01,50.82,52.34,49.130001,49.93,48.157017,33719300
23,2023-03-01,49.950001,52.209999,48.57,51.93,50.536369,49319200
24,2023-04-01,51.959999,55.990002,51.799999,55.529999,54.039757,38028400
25,2023-05-01,55.459999,55.77,49.779999,49.939999,48.599773,41500600
26,2023-06-01,50.259998,52.25,49.700001,52.130001,51.177429,48861000
27,2023-07-01,52.200001,54.380001,50.900002,53.73,52.748192,37771600
28,2023-08-01,53.57,53.82,50.310001,51.02,50.087711,40861300
29,2023-09-01,51.18,51.740002,48.66,49.400002,48.936142,31889300
30,2023-10-01,48.959999,49.310001,46.16,47.349998,46.905388,50984700
31,2023-11-01,47.48,48.93,46.919998,47.830002,47.380882,47293900
32,2023-11-28,47.810001,48.119999,47.810001,47.900002,47.900002,1779180
