,Date,Finance,High,Low,Close,Adj Close,Volume
0,2021-04-01,151.899994,157.25,146.690002,153.809998,142.258224,288694200
1,2021-05-01,154.850006,165.699997,152.139999,164.240005,152.799576,248957700
2,2021-06-01,165.869995,167.440002,147.559998,155.539993,144.705582,356723300
3,2021-07-01,156.259995,159.160004,145.710007,151.779999,141.207458,280571500
4,2021-08-01,152.029999,163.830002,149.520004,159.949997,149.665909,208085700
5,2021-09-01,160.220001,169.300003,150.490005,163.690002,153.165436,234791100
6,2021-10-01,164.0,172.960007,160.059998,169.889999,158.966797,231680800
7,2021-11-01,172.039993,172.330002,158.289993,158.830002,149.513474,203498400
8,2021-12-01,161.0,163.389999,151.839996,158.350006,149.061646,251966400
9,2022-01-01,159.860001,169.809998,139.570007,148.600006,139.88353,373950200
10,2022-02-01,148.690002,159.029999,139.779999,141.800003,134.282516,288730100
11,2022-03-01,140.039993,143.929993,127.269997,136.320007,129.093048,390796800
12,2022-04-01,137.399994,137.410004,118.900002,119.360001,113.032158,303650400
13,2022-05-01,119.879997,133.149994,115.019997,132.229996,126.148041,313630400
14,2022-06-01,132.869995,132.869995,110.93,112.610001,107.430473,268201900
15,2022-07-01,112.650002,116.5,106.059998,115.360001,110.053978,239623100
16,2022-08-01,114.5,124.239998,111.019997,113.730003,109.45871,258430300
17,2022-09-01,113.290001,121.550003,104.400002,104.5,100.57534,248558100
18,2022-10-01,105.620003,127.43,101.279999,125.879997,121.15239,318197200
19,2022-11-01,126.870003,138.179993,125.910004,138.179993,134.180283,227228500
20,2022-12-01,138.179993,138.660004,128.410004,134.100006,130.218399,202046000
21,2023-01-01,135.240005,143.490005,133.550003,139.960007,135.908783,209965200
22,2023-02-01,138.210007,144.339996,137.440002,143.350006,140.228882,169562800
23,2023-03-01,142.100006,144.039993,123.110001,130.309998,127.472778,458474400
24,2023-04-01,129.910004,141.779999,126.220001,138.240005,135.230148,242859500
25,2023-05-01,142.259995,143.369995,131.809998,135.710007,133.797104,235300100
26,2023-06-01,136.520004,146.0,135.449997,145.440002,143.389938,206539200
27,2023-07-01,146.190002,159.380005,141.440002,157.960007,155.733475,231241600
28,2023-08-01,157.429993,158.0,145.460007,146.330002,145.258163,169302400
29,2023-09-01,146.089996,150.25,142.649994,145.020004,143.957764,172196500
30,2023-10-01,144.830002,153.110001,135.190002,139.059998,138.041412,244010900
31,2023-11-01,139.25,154.440002,138.470001,153.190002,153.190002,136602600
32,2023-11-28,153.220001,153.869995,152.720001,153.539993,153.539993,6574175
