,Date,Energy,High,Low,Close,Adj Close,Volume
0,2021-04-01,53.119999,54.5,47.849998,51.139999,45.846607,175540700
1,2021-05-01,51.919998,59.34,51.560001,55.740002,49.97047,175048100
2,2021-06-01,57.080002,62.349998,57.049999,60.900002,55.021202,186779800
3,2021-07-01,62.689999,63.57,52.82,56.060001,50.648422,182049300
4,2021-08-01,56.529999,57.759998,51.41,55.529999,50.553165,154467400
5,2021-09-01,55.560001,68.889999,54.419998,67.769997,61.696167,214397200
6,2021-10-01,68.379997,77.980003,68.309998,74.489998,67.813881,183147000
7,2021-11-01,74.949997,77.150002,69.339996,70.129997,64.228195,176885300
8,2021-12-01,72.010002,75.959999,66.059998,72.18,66.10569,151459400
9,2022-01-01,72.029999,89.739998,72.019997,88.620003,81.387383,176296900
10,2022-02-01,87.400002,95.07,85.290001,94.860001,87.118111,172844600
11,2022-03-01,95.849998,107.519997,92.32,100.0,92.30056,233961300
12,2022-04-01,100.150002,104.110001,88.769997,95.519997,88.428978,135826400
13,2022-05-01,94.269997,117.989998,92.580002,112.360001,104.018829,168033200
14,2022-06-01,114.360001,124.080002,87.260002,89.809998,83.516174,200240500
15,2022-07-01,91.93,97.919998,78.300003,97.43,91.305199,142834600
16,2022-08-01,95.309998,115.470001,88.0,109.449997,102.569565,147633700
17,2022-09-01,107.779999,118.389999,98.459999,102.339996,96.337837,160467300
18,2022-10-01,106.93,129.990005,106.529999,126.089996,120.401703,152045900
19,2022-11-01,128.740005,138.490005,121.239998,123.510002,117.938103,147169600
20,2022-12-01,124.669998,125.370003,109.010002,118.0,113.107285,125127200
21,2023-01-01,116.559998,126.389999,110.459999,121.870003,117.545631,97124300
22,2023-02-01,120.709999,120.970001,102.959999,103.349998,99.68277,155866700
23,2023-03-01,103.730003,109.599998,91.529999,99.209999,96.115707,163762000
24,2023-04-01,105.129997,110.019997,99.650002,102.889999,100.298286,113294600
25,2023-05-01,101.580002,105.68,95.699997,99.300003,96.798721,142658100
26,2023-06-01,99.57,105.57,98.379997,103.610001,101.520866,116233200
27,2023-07-01,103.949997,118.25,99.349998,117.720001,116.039413,97911500
28,2023-08-01,117.260002,119.559998,111.300003,119.029999,117.330711,92872500
29,2023-09-01,120.0,126.029999,118.75,119.800003,118.603683,98310300
30,2023-10-01,120.239998,127.349998,111.669998,118.800003,118.204002,113391300
31,2023-11-01,119.480003,123.25,109.980003,114.800003,114.224068,93936300
32,2023-11-28,115.260002,115.974998,114.459999,114.980003,114.980003,2749472
