,Date,Industrials,High,Low,Close,Adj Close,Volume
0,2021-04-01,368.98999,394.339996,368.339996,380.559998,355.631134,27784600
1,2021-05-01,379.769989,396.98999,379.059998,382.200012,357.163727,25647900
2,2021-06-01,384.230011,395.720001,373.25,378.350006,355.954956,25986000
3,2021-07-01,377.309998,384.700012,366.399994,371.670013,349.67038,20627900
4,2021-08-01,372.299988,375.040009,353.570007,359.799988,338.502899,23647300
5,2021-09-01,358.299988,359.51001,335.100006,345.100006,327.021484,30204900
6,2021-10-01,347.309998,378.100006,325.140015,332.320007,314.911041,33874800
7,2021-11-01,330.470001,348.089996,324.230011,333.320007,315.858643,33487500
8,2021-12-01,335.0,357.829987,328.200012,355.410004,339.577881,33234500
9,2022-01-01,354.679993,395.600006,353.029999,389.130005,371.795776,43289100
10,2022-02-01,390.220001,433.899994,378.320007,433.799988,414.475861,43090400
11,2022-03-01,435.0,479.98999,411.359985,441.399994,424.6409,73002900
12,2022-04-01,442.220001,475.5,430.380005,432.119995,415.713287,32351000
13,2022-05-01,429.600006,454.059998,417.290009,440.109985,423.399933,26365900
14,2022-06-01,443.029999,456.670013,394.660004,429.959991,416.221924,27065300
15,2022-07-01,429.73999,434.959991,373.670013,413.809998,400.587982,25167800
16,2022-08-01,418.23999,445.48999,416.640015,420.109985,406.686646,24176000
17,2022-09-01,418.23999,433.790009,381.549988,386.290009,376.426636,26713100
18,2022-10-01,389.73999,491.140015,388.100006,486.679993,474.253265,32646500
19,2022-11-01,486.029999,494.660004,458.049988,485.190002,472.801361,30772000
20,2022-12-01,486.519989,498.950012,473.670013,486.48999,477.024292,23687600
21,2023-01-01,483.390015,488.0,437.619995,463.26001,454.246307,34505600
22,2023-02-01,462.51001,489.5,453.920013,474.26001,465.032257,23119100
23,2023-03-01,473.269989,487.640015,463.290009,472.730011,466.45047,34410200
24,2023-04-01,473.0,508.100006,459.600006,464.450012,458.280457,23175700
25,2023-05-01,465.040009,471.079987,439.700012,444.01001,438.111969,21555700
26,2023-06-01,445.600006,467.170013,443.420013,460.380005,457.327148,19690200
27,2023-07-01,460.0,479.5,444.630005,446.369995,443.410065,24009000
28,2023-08-01,447.029999,457.670013,442.299988,448.350006,445.376923,19348300
29,2023-09-01,450.320007,451.890015,405.720001,408.959991,408.959991,23734800
30,2023-10-01,408.959991,455.130005,393.769989,454.640015,454.640015,37176800
31,2023-11-01,456.329987,458.220001,439.679993,445.48999,445.48999,21290200
32,2023-11-28,447.859985,450.880005,446.160004,448.269989,448.269989,979682
